NK011766.CDS.3	1433B_HUMAN
D45469.CDS.1	ACACA_HUMAN
E41422.CDS.1	ACACB_HUMAN
WY01610490.CDS.2	ACAD8_HUMAN
DM578916.CDS.1	ACAD9_HUMAN
D20227	ACADL_HUMAN
TC19781909.CDS.2	ACADM_HUMAN
IJ964196.CDS.1	ACADS_HUMAN
IJ784246.CDS.1	ACADV_HUMAN
CM670778.CDS.2	ACAP1_HUMAN
K36127.CDS.1	ACAP2_HUMAN
S38440.CDS.1	ACAP3_HUMAN
Z16754.CDS.2	ACATN_HUMAN
CH987387.CDS.1	ACBD4_HUMAN
KK912608	ACBD5_HUMAN
HQ131985.CDS.1	ACBD6_HUMAN
RY35706751.CDS.2	ACBD7_HUMAN
XR941697.CDS.1	ACBG1_HUMAN
GO12923477.CDS.2	ACBG2_HUMAN
F97365.CDS.1	ACBP_HUMAN
AC29550735.CDS.1	ACD10_HUMAN
W69263.CDS.1	ACD11_HUMAN
NR54216227.CDS.1	ACDSB_HUMAN
BT484251.CDS.1	ACD_HUMAN
TM653664.CDS.1	ACE2_HUMAN
JR10440921.CDS.2	ACER1_HUMAN
PM625322.CDS.2	ACER2_HUMAN
WT03953188.CDS.1	ACER3_HUMAN
UX66497449.CDS.3	ACES_HUMAN
WG82541886.CDS.1	ACE_HUMAN
GG40219492.CDS.1	ACH10_HUMAN
SM813096.CDS.1	ACHA2_HUMAN
G61129.CDS.1	ACHA3_HUMAN
PN330433.CDS.1	ACHA4_HUMAN
TX11538129.CDS.1	ACHA5_HUMAN
JP424023.CDS.2	ACHA6_HUMAN
K68640.CDS.2	ACHA7_HUMAN
DK57468894.CDS.3	ACHA9_HUMAN
H89025	ACHA_HUMAN
AD12427922.CDS.1	ACHB2_HUMAN
IR64852199.CDS.2	ACHB3_HUMAN
QG065822.CDS.1	ACHB4_HUMAN
EW03122186.CDS.2	ACHB_HUMAN
HR250571.CDS.1	ACHD_HUMAN
QS967183.CDS.1	ACHE_HUMAN
F92839.CDS.1	ACHG_HUMAN
ML105884.CDS.1	ACINU_HUMAN
MO87220461	ACK1_HUMAN
R08323.CDS.3	ACKMT_HUMAN
QS81134050.CDS.2	ACKR1_HUMAN
IL93004787.CDS.3	ACKR2_HUMAN
UC80282875.CDS.1	ACKR3_HUMAN
K19525.CDS.3	ACKR4_HUMAN
YP931961	ACL10_HUMAN
GL56976419.CDS.1	ACL6A_HUMAN
ER39636344.CDS.1	ACL6B_HUMAN
D10851.CDS.1	ACL7A_HUMAN
UQ573747.CDS.1	ACL7B_HUMAN
A90440.CDS.2	ACLY_HUMAN
UD10191987.CDS.1	ACM1_HUMAN
QC746209.CDS.2	ACM2_HUMAN
Y81037.CDS.1	ACM3_HUMAN
C48030.CDS.1	ACM4_HUMAN
LT335481.CDS.3	ACM5_HUMAN
Q16009.CDS.3	ACMSD_HUMAN
PD012255.CDS.1	ACO11_HUMAN
XU550857.CDS.1	ACO12_HUMAN
TF12894313.CDS.3	ACO13_HUMAN
DG79355498.CDS.2	ACOC_HUMAN
WR74742477.CDS.1	ACOD_HUMAN
LY824780.CDS.1	ACON_HUMAN
WY017669.CDS.1	ACOT1_HUMAN
C39465.CDS.1	ACOT2_HUMAN
QJ391321.CDS.1	ACOT4_HUMAN
LY787395.CDS.1	ACOT6_HUMAN
J46524.CDS.1	ACOT8_HUMAN
WA579654.CDS.3	ACOT9_HUMAN
IR35695992.CDS.2	ACOX1_HUMAN
GY47616385.CDS.2	ACOX2_HUMAN
YC35238023.CDS.1	ACOX3_HUMAN
CG72472489.CDS.1	ACOXL_HUMAN
T17130.CDS.1	ACP7_HUMAN
UH35878990	ACPH_HUMAN
UF226371	ACPM_HUMAN
LH30038946.CDS.1	ACRBP_HUMAN
ZH78371231.CDS.1	ACRC_HUMAN
XB22347517.CDS.1	ACRO_HUMAN
N86281.CDS.1	ACS2A_HUMAN
F80659.CDS.2	ACS2B_HUMAN
JF229407.CDS.1	ACS2L_HUMAN
LR816957.CDS.1	ACSA_HUMAN
QH25740550.CDS.2	ACSF2_HUMAN
RQ406089.CDS.2	ACSF3_HUMAN
NF98166466	ACSF4_HUMAN
FS252820.CDS.1	ACSL1_HUMAN
EK54805557.CDS.1	ACSL3_HUMAN
ZI994156	ACSL4_HUMAN
BC19808862.CDS.1	ACSL5_HUMAN
RP72442762.CDS.2	ACSL6_HUMAN
RZ350850.CDS.3	ACSM1_HUMAN
RR01004866	ACSM3_HUMAN
PA74914522.CDS.3	ACSM4_HUMAN
TX80321635	ACSM5_HUMAN
S05005.CDS.3	ACSM6_HUMAN
XE63990062.CDS.1	ACSS3_HUMAN
K40185.CDS.1	ACTA_HUMAN
EL95771973.CDS.2	ACTBL_HUMAN
AK785071.CDS.2	ACTBM_HUMAN
SB717516.CDS.3	ACTB_HUMAN
ZB27471031.CDS.3	ACTC_HUMAN
BP606927.CDS.2	ACTG_HUMAN
CP707603.CDS.2	ACTHR_HUMAN
GU490752.CDS.1	ACTH_HUMAN
IE931899.CDS.1	ACTL8_HUMAN
PA486473.CDS.1	ACTL9_HUMAN
TR13747621.CDS.1	ACTN1_HUMAN
U01317.CDS.1	ACTN2_HUMAN
MQ15695853.CDS.1	ACTN3_HUMAN
PL924631.CDS.1	ACTN4_HUMAN
BK744408.CDS.2	ACTS_HUMAN
WJ31948207.CDS.3	ACTT1_HUMAN
GW431375.CDS.2	ACTT2_HUMAN
LZ17214594.CDS.1	ACTT3_HUMAN
ML535430.CDS.3	ACTY_HUMAN
DL192903	ACTZ_HUMAN
NO16569585	ACV1B_HUMAN
JO996541.CDS.1	ACV1C_HUMAN
E99900.CDS.1	ACVL1_HUMAN
TJ16143844.CDS.1	ACVR1_HUMAN
N46169.CDS.1	ACY1_HUMAN
GK09861441.CDS.1	ACY2_HUMAN
UF66968660.CDS.2	ACY3_HUMAN
O44844.CDS.2	ACYP1_HUMAN
MQ83072481.CDS.2	ACYP2_HUMAN
A07174.CDS.1	ADA10_HUMAN
RL412026.CDS.1	ADA11_HUMAN
LG33512744.CDS.1	ADA12_HUMAN
MB890245	ADA15_HUMAN
BA82681764.CDS.2	ADA17_HUMAN
QH740706.CDS.2	ADA18_HUMAN
MA05970063.CDS.1	ADA19_HUMAN
H00787.CDS.1	ADA1A_HUMAN
NF274416.CDS.1	ADA1B_HUMAN
SF29756318.CDS.1	ADA1D_HUMAN
UT61578333.CDS.3	ADA20_HUMAN
TW654292	ADA21_HUMAN
E34064.CDS.1	ADA22_HUMAN
XL77746854.CDS.3	ADA23_HUMAN
IS502693.CDS.2	ADA28_HUMAN
C66638.CDS.1	ADA29_HUMAN
BK56693730.CDS.1	ADA2A_HUMAN
C01540.CDS.2	ADA2B_HUMAN
QR531313	ADA2C_HUMAN
QP136550.CDS.1	ADA2_HUMAN
LS91768055.CDS.2	ADA30_HUMAN
SS71752160.CDS.1	ADA32_HUMAN
ME34923187.CDS.1	ADA33_HUMAN
P47284.CDS.1	ADAD1_HUMAN
F72795.CDS.1	ADAD2_HUMAN
PB54211365.CDS.1	ADAL_HUMAN
RR36324720.CDS.3	ADAM2_HUMAN
RU63608524.CDS.1	ADAM5_HUMAN
NE20963854.CDS.1	ADAM7_HUMAN
WW138330.CDS.2	ADAM8_HUMAN
EB621161.CDS.1	ADAM9_HUMAN
OF28066119.CDS.1	ADAP1_HUMAN
CT899285.CDS.2	ADAP2_HUMAN
TT32365357.CDS.1	ADAS1_HUMAN
EQ20132703.CDS.3	ADAS_HUMAN
P16408.CDS.2	ADAT1_HUMAN
QL56435898.CDS.1	ADAT2_HUMAN
YE01411120.CDS.1	ADAT3_HUMAN
SG70272946.CDS.2	ADA_HUMAN
IZ805934.CDS.2	ADCK1_HUMAN
NO911564.CDS.1	ADCK2_HUMAN
N90979.CDS.3	ADCK5_HUMAN
K07418.CDS.1	ADCL2_HUMAN
ZP603185.CDS.3	ADCL3_HUMAN
AH95581129.CDS.1	ADCL4_HUMAN
MM66988890	ADCY1_HUMAN
N14119.CDS.3	ADCY2_HUMAN
UR45691722.CDS.1	ADCY3_HUMAN
JD851624.CDS.2	ADCY4_HUMAN
RE56816140	ADCY5_HUMAN
K10178.CDS.3	ADCY6_HUMAN
MM25486150.CDS.1	ADCY7_HUMAN
MW018219	ADCY8_HUMAN
CZ34378276.CDS.2	ADCY9_HUMAN
TU577017.CDS.1	ADCYA_HUMAN
UF597581.CDS.1	ADDA_HUMAN
QJ30739702.CDS.1	ADDB_HUMAN
WU415688.CDS.2	ADDG_HUMAN
WP30580201	ADEC1_HUMAN
A37383.CDS.1	ADGB_HUMAN
JL567123.CDS.2	ADH1A_HUMAN
ZT482704.CDS.1	ADH1B_HUMAN
T18203.CDS.1	ADH1G_HUMAN
Q27503	ADH4_HUMAN
FU201781.CDS.2	ADH6_HUMAN
MO882665.CDS.1	ADH7_HUMAN
EJ860355.CDS.2	ADHX_HUMAN
KF765023.CDS.1	ADIG_HUMAN
M69388	ADIPL_HUMAN
I67576.CDS.3	ADIPO_HUMAN
IE155972.CDS.1	ADIP_HUMAN
EZ18256297.CDS.1	ADIRF_HUMAN
TM273816.CDS.1	ADK_HUMAN
LJ398704.CDS.2	ADM2_HUMAN
FY65748072	ADM5_HUMAN
DY373624.CDS.1	ADML_HUMAN
ML826947.CDS.1	ADNP2_HUMAN
FU940303.CDS.1	ADNP_HUMAN
BZ848539.CDS.1	ADPGK_HUMAN
WF102036.CDS.1	ADPPT_HUMAN
Y54684.CDS.1	ADPRH_HUMAN
YW734667.CDS.1	ADPRM_HUMAN
XA993763.CDS.1	ADRB1_HUMAN
CH287400	ADRB2_HUMAN
WR52018053.CDS.1	ADRB3_HUMAN
K08858.CDS.1	ADRM1_HUMAN
MT815821.CDS.1	ADRO_HUMAN
FK65158013.CDS.1	ADSV_HUMAN
ZB438850.CDS.1	ADT1_HUMAN
WQ88624849.CDS.1	ADT2_HUMAN
OQ191996.CDS.1	ADT3_HUMAN
DE02064031.CDS.2	ADT4_HUMAN
JW21213402.CDS.1	ADTRP_HUMAN
DT31153573.CDS.1	ADX_HUMAN
RF563015.CDS.3	AEBP1_HUMAN
BM18503256	AEBP2_HUMAN
TF974504.CDS.2	AEDO_HUMAN
TF34421037	AEGP_HUMAN
U36409.CDS.1	AEN_HUMAN
MR40409519.CDS.2	AF10_HUMAN
G42188.CDS.2	AF17_HUMAN
EU034748.CDS.1	AF1L1_HUMAN
M53511.CDS.1	AF1L2_HUMAN
KW95662405.CDS.1	AF1Q_HUMAN
BE84451884.CDS.1	AF9_HUMAN
IY53067200.CDS.3	AFAD_HUMAN
JN81029678.CDS.2	AFAM_HUMAN
BI898177	AFAP1_HUMAN
MD792679.CDS.2	AFDDT_HUMAN
BH88253554.CDS.1	AFF1_HUMAN
IC76836997.CDS.1	AFF2_HUMAN
ZH30041176.CDS.3	AFF3_HUMAN
ST996619.CDS.1	AFF4_HUMAN
FT640958.CDS.1	AFG1L_HUMAN
TM474032.CDS.2	AFG2H_HUMAN
SW135226.CDS.1	AFG32_HUMAN
Z97468.CDS.1	AFTIN_HUMAN
PO592712.CDS.3	AG10A_HUMAN
JR70817840.CDS.1	AG10B_HUMAN
K15316	AG1L2_HUMAN
SS97630411.CDS.2	AGA11_HUMAN
EP62151742.CDS.1	AGAL_HUMAN
JI816795.CDS.1	AGAP1_HUMAN
LS676870.CDS.2	AGAP2_HUMAN
DH36286023.CDS.1	AGAP3_HUMAN
LG811987.CDS.2	AGAP4_HUMAN
PC78824752.CDS.1	AGAP5_HUMAN
B36302.CDS.1	AGAP6_HUMAN
HQ68654049.CDS.1	AGAP7_HUMAN
L37202.CDS.1	AGAP9_HUMAN
ZA349898.CDS.1	AGFG1_HUMAN
KQ563834.CDS.1	AGFG2_HUMAN
F83337.CDS.1	AGGF1_HUMAN
O94399	AGIT1_HUMAN
GX128736.CDS.2	AGK_HUMAN
RC206296.CDS.1	AGM1_HUMAN
ZJ859362.CDS.1	AGO1_HUMAN
XK558856.CDS.2	AGO2_HUMAN
JO90754538.CDS.1	AGO3_HUMAN
SR96800174.CDS.2	AGO4_HUMAN
MZ937609.CDS.1	AGR2_HUMAN
B08007.CDS.1	AGR3_HUMAN
MS599783.CDS.1	AGRA1_HUMAN
IW763877.CDS.1	AGRA2_HUMAN
ZY698576.CDS.1	AGRA3_HUMAN
S33645.CDS.1	AGRB1_HUMAN
LU068868.CDS.1	AGRB2_HUMAN
AO551914.CDS.3	AGRB3_HUMAN
ZG428275.CDS.1	AGRD1_HUMAN
AS85331171.CDS.1	AGRD2_HUMAN
DH702771.CDS.1	AGRE1_HUMAN
I07950.CDS.3	AGRE2_HUMAN
ZQ41888811.CDS.1	AGRE3_HUMAN
T65915.CDS.1	AGRE4_HUMAN
F28849.CDS.2	AGRF1_HUMAN
ZY64616580.CDS.1	AGRF2_HUMAN
M93985.CDS.1	AGRF3_HUMAN
C60620.CDS.2	AGRF4_HUMAN
SY622582.CDS.1	AGRF5_HUMAN
LM61211907.CDS.1	AGRG1_HUMAN
LA76494016	AGRG2_HUMAN
OC45903910.CDS.2	AGRG3_HUMAN
SC867623.CDS.1	AGRG4_HUMAN
YX50606408.CDS.1	AGRG5_HUMAN
YF843240.CDS.1	AGRG6_HUMAN
IW06475925.CDS.1	AGRG7_HUMAN
K88052.CDS.1	AGRIN_HUMAN
PT96129647.CDS.3	AGRL1_HUMAN
DL188384.CDS.1	AGRL2_HUMAN
GF397148.CDS.1	AGRL3_HUMAN
RP771659.CDS.1	AGRL4_HUMAN
XN34788636.CDS.2	AGRP_HUMAN
PZ591692.CDS.1	AGRV1_HUMAN
OY46521402.CDS.3	AGT2_HUMAN
K78549.CDS.1	AGTR1_HUMAN
ZK67740363.CDS.3	AGTR2_HUMAN
XF654512.CDS.1	AHDC1_HUMAN
QK93843576.CDS.1	AHI1_HUMAN
W10738.CDS.1	AHNK2_HUMAN
OH22633671.CDS.2	AHNK_HUMAN
H18981.CDS.1	AHRR_HUMAN
S92052.CDS.1	AHR_HUMAN
FY943947.CDS.2	AHSA1_HUMAN
PK13483741.CDS.1	AHSA2_HUMAN
KW303885.CDS.1	AHSP_HUMAN
WG95528810.CDS.1	AICDA_HUMAN
BD40967767.CDS.3	AIDA_HUMAN
ZI184526	AIF1L_HUMAN
OB680339	AIF1_HUMAN
R28601.CDS.1	AIFM1_HUMAN
X80448.CDS.1	AIFM2_HUMAN
QX643403.CDS.1	AIFM3_HUMAN
HO354305.CDS.3	AIG1_HUMAN
FS395766.CDS.1	AIM2_HUMAN
EE56858091.CDS.2	AIMP1_HUMAN
RK81102385.CDS.2	AIMP2_HUMAN
OB84888101.CDS.1	AINX_HUMAN
SL24494823.CDS.1	AIPL1_HUMAN
TH53614372.CDS.1	AIP_HUMAN
S88129.CDS.1	AIRE_HUMAN
DS33202740.CDS.1	AJAP1_HUMAN
AL963204	AJM1_HUMAN
CI58471071.CDS.1	AJUBA_HUMAN
O47410.CDS.1	AK17A_HUMAN
H67606.CDS.1	AK1A1_HUMAN
HL650608.CDS.1	AK1BA_HUMAN
XD789768.CDS.1	AK1BF_HUMAN
OA106077.CDS.2	AK1C1_HUMAN
UY056021.CDS.1	AK1C2_HUMAN
